name,gen_mw_peak,gen_mw_mean,gen_mw_offpeak
Babatngon,0.0,0.0,0.0
Calbayog,3.3,1.65,0.55
Isabel,21.21,10.6,3.54
Kananga,416.58,416.58,416.58
Maasin,0.0,0.0,0.0
Ormoc,17.95,13.4,1.7
Paranas (Wright),6.08,5.32,3.8
Sta. Rita,0.0,0.0,0.0
Tabango,0.0,0.0,0.0
Tongonan,102.42,102.42,102.42
Argao,0.0,0.0,0.0
Calong-calong,12.25,8.82,0.0
Cebu,0.0,0.0,0.0
Colon,0.0,0.0,0.0
Compostela,0.0,0.0,0.0
Daanbantayan,0.0,0.0,0.0
Daan Lungsod,199.76,174.79,137.34
Dumanjug,0.0,0.0,0.0
KSPC,164.8,144.2,113.3
Lapu-Lapu (Pusok),13.65,6.82,2.28
Magdugo,0.0,0.0,0.0
Mandaue,0.0,0.0,0.0
Naga (Visayas),9.9,4.95,1.65
Quiot,19.5,9.75,3.25
Samboan,0.0,0.0,0.0
Therma Visayas,270.4,236.6,185.9
Toledo BESS,0.0,0.0,0.0
Toledo,78.88,64.52,47.98
Amlan,12.38,9.52,5.62
Bacolod,60.47,44.43,27.44
Cadiz,40.86,31.44,19.76
Calatrava,0.0,0.0,0.0
E.B. Magalona,0.0,0.0,0.0
Helios Solar,26.25,18.9,0.0
Kabankalan,21.0,16.5,13.5
Kabankalan BESS,0.0,0.0,0.0
Mabinay,14.0,11.0,9.0
Palinpinon 1,93.92,93.92,93.92
Palinpinon 2,107.95,107.95,107.95
San Carlos,35.17,26.22,8.78
Corella,8.82,5.9,3.28
Tapal,8.7,4.35,1.45
Ubay,0.0,0.0,0.0
Maribojoc,0.0,0.0,0.0
Bantap,0.0,0.0,0.0
Barotac Viejo,0.0,0.0,0.0
Buenavista (Guimaras),16.2,15.12,15.12
Concepcion,108.0,94.5,74.25
Dingle,30.7,18.55,10.45
Iloilo (PEDC),253.92,222.18,174.57
Nabas,24.03,21.18,18.74
Panitan,0.0,0.0,0.0
San Jose,1.42,1.03,0.0
Sta. Barbara,10.44,6.43,3.22
