generator_id,substation,p_nom_mw,carrier,build_year,dispatch_mw
04BILGPP_G01,Ormoc,2.0,Geothermal,2024,1.7
04CLBYBNK_G01,Calbayog,11.0,Diesel,2024,3.3
04IASMOD_G01,Isabel,10.0,Diesel,2022,3.0
04IASMOD_G02,Isabel,10.1,Diesel,2022,3.03
04IASMOD_G03,Isabel,15.1,Diesel,2022,4.53
04IASMOD_G04,Isabel,10.2,Diesel,2022,3.06
04IASMOD_G05,Isabel,15.1,Diesel,2022,4.53
04IASMOD_G06,Isabel,10.2,Diesel,2022,3.06
04LEYTE_A,Kananga,490.1,Geothermal,1997,416.58
04LGPP_G01,Tongonan,120.5,Geothermal,1983,102.42
04PHSOL_G01,Ormoc,24.5,Solar,2015,6.12
04SEPSOL_G01,Ormoc,40.5,Solar,2016,10.12
04TAFT_G01,Paranas (Wright),15.2,ROR,2022,6.08
05CARMENDPP_U01,Toledo,10.0,Diesel,1979,3.0
05CARMENDPP_U02,Toledo,10.0,Diesel,1979,3.0
05CARMENDPP_U03,Toledo,10.0,Diesel,1979,3.0
05CARMENDPP_U04,Toledo,10.0,Diesel,1979,3.0
05CEDC_U01,Daan Lungsod,83.2,Coal,2010,66.56
05CEDC_U02,Daan Lungsod,83.4,Coal,2010,66.72
05CEDC_U03,Daan Lungsod,83.1,Coal,2011,66.48
05CPPC_U01,Quiot,6.5,Diesel,1998,1.95
05CPPC_U02,Quiot,6.5,Diesel,1998,1.95
05CPPC_U03,Quiot,6.5,Diesel,1998,1.95
05CPPC_U04,Quiot,6.5,Diesel,1998,1.95
05CPPC_U05,Quiot,6.5,Diesel,1998,1.95
05CPPC_U06,Quiot,6.5,Diesel,1998,1.95
05CPPC_U07,Quiot,6.5,Diesel,1998,1.95
05CPPC_U08,Quiot,6.5,Diesel,1998,1.95
05CPPC_U09,Quiot,6.5,Diesel,1998,1.95
05CPPC_U10,Quiot,6.5,Diesel,1998,1.95
05EAUC_U01,Lapu-Lapu (Pusok),11.5,Diesel,1997,3.45
05EAUC_U02,Lapu-Lapu (Pusok),11.0,Diesel,1997,3.3
05EAUC_U03,Lapu-Lapu (Pusok),11.5,Diesel,1997,3.45
05EAUC_U04,Lapu-Lapu (Pusok),11.5,Diesel,1997,3.45
05KSPC_G01,KSPC,103.0,Coal,2010,82.4
05KSPC_G02,KSPC,103.0,Coal,2011,82.4
05THVI_U01,Therma Visayas,169.0,Coal,2019,135.2
05THVI_U02,Therma Visayas,169.0,Coal,2019,135.2
05TOLSOL_G01,Calong-calong,49.0,Solar,2017,12.25
05TPC_G02,Toledo,83.6,Coal,2015,66.88
05TPVI_U01,Naga (Visayas),5.5,Diesel,2020,1.65
05TPVI_U02,Naga (Visayas),5.5,Diesel,2020,1.65
05TPVI_U03,Naga (Visayas),5.5,Diesel,2020,1.65
05TPVI_U04,Naga (Visayas),5.5,Diesel,2020,1.65
05TPVI_U05,Naga (Visayas),5.5,Diesel,2020,1.65
05TPVI_U06,Naga (Visayas),5.5,Diesel,2020,1.65
06AMLA_G01,Amlan,0.9,ROR,1961,0.36
06BISCOM_G01,Kabankalan,30.0,Biomass,2019,21.0
06CABI_G01,Amlan,12.0,Biomass,2019,8.4
06CARSOL_G01,Bacolod,27.2,Solar,2016,6.8
06CENPRI_U01,Bacolod,4.5,Diesel,2016,1.35
06CENPRI_U02,Bacolod,4.5,Diesel,2016,1.35
06CENPRI_U03,Bacolod,4.5,Diesel,2016,1.35
06CENPRI_U04,Bacolod,6.7,Diesel,2017,2.01
