line_id,from_bus,to_bus,voltage_kv,length_km,r_ohm_per_km,x_ohm_per_km,max_i_ka,is_submarine,cable_type
L_Cebu_Quiot,Cebu,Quiot,69,2.755,0.3,0.4,0.4,False,overhead
L_Cebu_Colon,Cebu,Colon,69,8.736,0.3,0.4,0.4,False,overhead
L_Trinidad_LES_Ubay,Trinidad LES,Ubay,69,21.044,0.3,0.4,0.4,False,overhead
L_Alicia_LES_Ubay,Alicia LES,Ubay,69,22.587,0.3,0.4,0.4,False,overhead
L_Maasin_Ubay,Maasin,Ubay,138,34.481,0.0754,0.121,0.645,True,submarine_xlpe
L_Corella_Ubay,Corella,Ubay,138,92.4,0.12,0.4,0.65,False,overhead
L_Corella_Pajo_LES,Corella,Pajo LES,230,18.201,0.06,0.4,0.95,False,overhead
L_Dumanjug_Pajo_LES,Dumanjug,Pajo LES,230,52.711,0.0754,0.121,0.645,True,submarine_xlpe
L_Calatrava_San_Carlos,Calatrava,San Carlos,138,5.593,0.12,0.4,0.65,False,overhead
L_Cadiz_Calatrava,Cadiz,Calatrava,230,52.478,0.06,0.4,0.95,False,overhead
L_Calatrava_Toledo,Calatrava,Toledo,230,26.148,0.0754,0.121,0.645,True,submarine_xlpe
L_Daanbantayan_Tabango,Daanbantayan,Tabango,230,30.937,0.0754,0.121,0.645,True,submarine_xlpe
L_Tabango_Tongonan,Tabango,Tongonan,230,42.825,0.06,0.4,0.95,False,overhead
L_Lapu-Lapu_(Pusok)_Mandaue,Lapu-Lapu (Pusok),Mandaue,138,0.925,0.0754,0.121,0.645,True,submarine_xlpe
L_Maasin_Ormoc,Maasin,Ormoc,138,113.963,0.12,0.4,0.65,False,overhead
L_Colon_Quiot,Colon,Quiot,69,2.395,0.3,0.4,0.4,False,overhead
L_Calong-calong_Colon,Calong-calong,Colon,69,3.386,0.3,0.4,0.4,False,overhead
L_Magdugo_Toledo,Magdugo,Toledo,138,6.81,0.12,0.4,0.65,False,overhead
L_Cebu_Magdugo,Cebu,Magdugo,230,33.392,0.06,0.4,0.95,False,overhead
L_Dumanjug_Magdugo,Dumanjug,Magdugo,230,51.051,0.06,0.4,0.95,False,overhead
L_Amlan_Samboan,Amlan,Samboan,138,14.701,0.0754,0.121,0.645,True,submarine_xlpe
L_Calbayog_Paranas_(Wright),Calbayog,Paranas (Wright),138,62.637,0.12,0.4,0.65,False,overhead
L_Babatngon_Paranas_(Wright),Babatngon,Paranas (Wright),138,57.055,0.12,0.4,0.65,False,overhead
L_Babatngon_Ormoc,Babatngon,Ormoc,138,78.027,0.12,0.4,0.65,False,overhead
L_Ormoc_Tongonan,Ormoc,Tongonan,230,5.704,0.06,0.4,0.95,False,overhead
L_Allen_Ormoc,Allen,Ormoc,230,257.918,0.06,0.4,0.95,False,overhead
L_Cebu_Mandaue,Cebu,Mandaue,138,6.951,0.0754,0.121,0.645,True,submarine_xlpe
L_Cebu_Compostela,Cebu,Compostela,138,16.604,0.12,0.4,0.65,False,overhead
L_Compostela_Daanbantayan,Compostela,Daanbantayan,230,90.745,0.06,0.4,0.95,False,overhead
