name,p_mw_peak,q_mvar_peak,p_mw_mean,q_mvar_mean,p_mw_offpeak,q_mvar_offpeak
Babatngon,62.9,18.9,54.6,16.4,33.5,10.0
Calbayog,39.5,11.8,38.3,11.5,26.3,7.9
Isabel,35.0,10.5,25.2,7.6,20.6,6.2
Kananga,0.0,0.0,0.0,0.0,0.0,0.0
Maasin,34.6,10.4,32.5,9.8,20.8,6.2
Ormoc,61.6,18.5,40.9,12.3,23.6,7.1
Paranas (Wright),26.8,8.0,26.8,8.0,18.6,5.6
Sta. Rita,11.0,3.3,11.3,3.4,7.9,2.4
Tabango,0.0,0.0,0.0,0.0,0.0,0.0
Tongonan,9.8,2.9,10.0,3.0,8.0,2.4
Argao,0.0,0.0,0.0,0.0,0.0,0.0
Calong-calong,34.1,10.2,20.6,6.2,11.6,3.5
Cebu,186.0,55.8,141.4,42.4,93.3,28.0
Colon,163.5,49.0,139.2,41.8,115.7,34.7
Compostela,48.1,14.4,39.2,11.8,31.0,9.3
Daanbantayan,35.3,10.6,27.4,8.2,19.9,6.0
Daan Lungsod,26.3,7.9,25.3,7.6,22.0,6.6
Dumanjug,0.0,0.0,0.0,0.0,0.0,0.0
KSPC,16.1,4.8,15.7,4.7,14.0,4.2
Lapu-Lapu (Pusok),158.8,47.6,122.3,36.7,84.8,25.4
Magdugo,0.0,0.0,0.0,0.0,0.0,0.0
Mandaue,135.9,40.8,94.1,28.2,62.8,18.8
Naga (Visayas),0.2,0.1,0.1,0.0,0.1,0.0
Quiot,121.3,36.4,89.7,26.9,52.2,15.7
Samboan,3.8,1.1,3.3,1.0,2.3,0.7
Therma Visayas,28.9,8.7,28.4,8.5,25.0,7.5
Toledo BESS,0.0,0.0,0.0,0.0,0.0,0.0
Toledo,77.1,23.1,72.7,21.8,65.0,19.5
Amlan,97.3,29.2,63.1,18.9,41.0,12.3
Bacolod,225.0,67.5,139.9,42.0,90.6,27.2
Cadiz,58.6,17.6,30.3,9.1,17.5,5.2
Calatrava,0.1,0.0,0.1,0.0,0.0,0.0
E.B. Magalona,0.0,0.0,0.0,0.0,0.0,0.0
Helios Solar,0.0,0.0,0.0,0.0,0.0,0.0
Kabankalan,44.4,13.3,30.4,9.1,21.2,6.4
Kabankalan BESS,0.0,0.0,0.0,0.0,0.0,0.0
Mabinay,9.0,2.7,7.2,2.2,5.2,1.6
Palinpinon 1,6.6,2.0,4.9,1.5,4.8,1.4
Palinpinon 2,7.1,2.1,5.9,1.8,5.4,1.6
San Carlos,0.6,0.2,0.5,0.1,0.3,0.1
Corella,64.9,19.5,49.8,14.9,28.4,8.5
Tapal,0.0,0.0,0.0,0.0,0.0,0.0
Ubay,32.6,9.8,25.9,7.8,16.0,4.8
Maribojoc,0.0,0.0,0.0,0.0,0.0,0.0
Bantap,21.0,6.3,16.1,4.8,9.5,2.9
Barotac Viejo,0.0,0.0,0.0,0.0,0.0,0.0
Buenavista (Guimaras),10.5,3.1,8.0,2.4,4.5,1.3
Concepcion,15.4,4.6,14.4,4.3,12.4,3.7
Dingle,49.5,14.8,39.1,11.7,22.0,6.6
Iloilo (PEDC),133.9,40.2,99.0,29.7,59.7,17.9
Nabas,72.5,21.8,57.7,17.3,36.5,10.9
Panitan,42.9,12.9,35.0,10.5,19.6,5.9
San Jose,18.9,5.7,13.1,3.9,6.9,2.1
Sta. Barbara,80.0,24.0,59.6,17.9,36.0,10.8
