,01AMBKLAO,01ANGAT,01ANGSJO_TP2,01ANGSJO_TP4,01BAKUN,01BALINGUEO,01BALSIK,01BAUANG,01BCCPP,01BCNOTAN,01BINGA,01BNTAY,01BOTOLAN,01BPC,01BPPC,01BURGOS,01BYOMBNG,01CASCNAN,01CAWAGO,01CAYANGA,01CBNTUAN,01CLARK,01CNCEPCN,01CURIMAO,01DUHAT,01EHVNAGSAAG,01EHVSJOS,01GAMU,01HERMOSA,01KDAMEHV,01LAMAO,01LAOAG,01LATRINI,01LBRADOR,01LIMAY,01MAGAT,01MALOLOS,01MARIVELES,01MEXICO,01MPGC,01MSINLOC,01OLONGAP,01PAGUDPUD,01PANTABA,01PASUQUIN,01SBMA,01SNESTBN,01SNMANUEL,01SNMARCELINO,01SNRAFAEL,01SNROQUE,01SNTGO,01SUAL,01T_ASIA,01TGEGARAO,02DOLORES,02DONAIMELDA,02MANILA,02MUNTINLUPA,02QUEZON,02ZAPOTE,03AMADEO,03AVION,03BACMANGP,03BATANGAS,03BINAN,03CALAMBA,03CALAUAN,03CALIRAY,03CLACA,03DARAGA,03DASMAEHV,03EERI,03GUMACA,03ILIJAN,03INGRID,03LABO,03LUMBAN,03MAUBAN,03MKBAN-A,03MKBAN-B,03MKBAN-C,03MKBAN-D,03MLAYA,03NAGA,03PAGEHV,03PALAYAN,03PGBILAO,03SALONG,03SLPGC,03SNJUAN,03STARITA,03STROSA,03TAYABEHV,03TIWI-A,03TIWI-C,04BABATNGN,04CALBAYOG,04ISABEL,04KANANGA,04MAASIN,04ORMOC,04PARANAS,04STARITA,04STARITATAP,04TABANGO,04TONGONA,05CALUNG,05CEBU,05COLON,05COMPSTLA,05DAANBNTAY,05DAANLUNSOD,05DUMANJUG,05KSPC,05LAPULAPU,05MAGDUGO,05MANDAUE,05NAGA,05QUIOT,05SAMBOAN,05THERMA,05TOLBESS,05TOLEDO,06AMLAN,06BACOLOD,06CADIZ,06CALATRAVA,06GAHIT,06HELIOS,06KABANKALAN,06KBANBESS,06MABINAY,06PGPP1,06PGPP2,06SNCARLOS,07CORELLA,07TAPAL,07UBAY,08BANTAP,08BAROTAC,08BVISTA,08CONCEPCION,08DINGLE,08ILOILO1,08NABAS,08PANITAN,08SNJOSE,08STBARBRA,09AUROR,09LALA,09NAGA,09PITOG,09POLAN,09WMPC,09ZAMBO,10AGUS1,10AGUS2,10AGUS4,10AGUS5,10AGUS6,10BALOI,10IDPP,10KAUSW,10LGAIT,11FDC,11JASAA,11KIBAW,11MANOL,11MARAM,11OPOL,11TAGOL,11VILLA,12BISLI,12BUTUA,12NASIP,12PLACE,12SFRAN,12TM2,13BUNAW,13CULAM,13DAVAO,13MACO,13MATAN,13NABUN,13TM1,13TORIL,14GENSA,14KAMAN,14KIDAP,14SULTA,14TACUR
1/1/23 0:00,0,0,1.852782916,0,0,72.34477315,0,49.33344883,0,18.90931462,4.871795731,23.89226741,26.37048479,4.183847946,0,0,45.08698546,0,2.026018314,0,130.0616138,35.92535918,172.3337898,9.066853539,255.6921195,49.98372678,312.0418695,40.73007852,128.6379937,0,47.25767536,25.5836126,86.64842317,39.92572865,37.3930336,0,135.1198137,21.14614151,342.6425808,0,24.31463192,39.81303413,0,0,0,0,29.87877051,39.67785386,0,121.6290509,0,51.07236678,306.0354831,0,99.94958058,551.701729,357.8135933,297.0031102,410.921369,418.5140432,520.079707,163.5623846,0,6.969764613,197.5505042,267.9569739,205.0988474,83.82597804,14.3362395,87.47057775,74.27682351,371.3765115,10.63232003,27.05637753,10.21590278,0,29.38484329,14.22845106,0,49.10731341,0,0,0,0,100.2632995,0.095612308,0,0,26.4499873,0,340.2622684,0,202.5494224,64.35349011,0,0,55.06571795,41.96064934,28.38604078,0,33.98690181,42.46944833,29.8942093,12.38831966,0,0,10.95099709,14.24127997,104.2662891,112.1321674,31.30648993,23.90119864,21.94615168,0,13.26492565,92.70316937,0,72.10892131,0.100067613,68.67316526,2.951129177,24.43694504,0,64.83666787,61.96717719,139.6384192,16.97846159,0.064744981,0,0,31.73735556,0,7.317942581,5.358108381,5.913535052,0.496611461,35.2922889,0,18.39387681,16.14318354,0,9.030002838,15.61612134,41.5306355,99.38255757,64.41077727,39.49238983,14.21445849,60.78354547,95.8536502,0.58649113,32.3973388,69.668535,44.0257911,0,38.2997167,30.0901816,0,0,0,63.9441844,2.03028981,18.7452715,0,13.3440056,0,24.0381166,5.07860594,0.02098179,46.9405829,45.4323643,170.56216,0,19.016813,74.8862343,13.4034696,38.9183912,33.5902306,0,142.09279,5.39454505,212.271693,65.449194,38.4029184,48.4897606,0,37.2506057,156.857557,0,28.3406332,58.8217267,87.4246708
1/1/23 1:00,0,0,0.492972858,0,0,70.28632044,0,43.86436731,0,16.58082152,3.818588522,20.47417939,24.76222781,3.339971947,0,0,36.65963708,0,1.755162114,0,117.264963,15.74093064,136.9325547,7.91796597,228.9681878,40.41045241,261.4918912,29.43992297,131.6454325,0,37.28189928,25.94451586,64.93566608,29.46115142,31.66754015,0,106.0904604,17.63139904,304.8743091,0,18.63957761,34.33942798,0,0,0,0,25.415957,34.88744557,0,111.4884038,0,57.18124787,352.3013675,0,81.47661136,438.5471425,260.8556038,246.0915186,319.4447907,449.3616919,433.560398,142.5577024,0,5.676455993,181.6113417,240.6321341,182.6765401,68.33674882,11.53185356,75.72170694,59.89202195,313.5675515,8.914856832,23.76738653,8.370033254,0,23.20746143,13.10053292,0,39.58205373,0,0,0,0,76.10824861,0.099119629,0,0,24.37431301,0,285.509871,0,181.0307038,52.72619334,0,0,44.19344722,35.99167832,20.27144041,0,28.81169179,31.78495125,23.93684719,10.29683767,0,0,8.906741544,14.11017974,103.6445181,110.0645444,29.78236107,22.89687348,21.83567762,0,13.20617365,94.8483899,0,72.94392074,0.099333423,67.29823501,2.884928492,23.85212324,0,64.81630969,53.82590034,129.2953005,23.0475465,0.061618278,0,0,28.10642489,0,6.465795474,4.876753116,5.420842578,0.393286939,33.67020747,0,17.74582463,14.10877137,0,7.357477415,12.86284089,37.09480049,79.73590124,52.95181365,30.28057665,11.70420341,55.78714894,66.0466003,0.44034562,23.7894497,45.4935382,30.6313748,0,28.6403658,18.7260962,0,0,0,42.2176826,1.38074491,12.8916941,0,8.09696577,0,18.5695235,2.6221868,0.01953737,25.8571451,30.393336,151.965331,0,10.69574,43.9501357,10.868593,26.6749197,21.5147407,0,94.7423609,2.41530509,141.600537,37.521191,23.4498993,30.9573445,0,23.7640382,106.437823,0,17.3160348,39.2910775,57.3288182
1/1/23 2:00,0,0,0.483317136,0,0,67.39684364,0,42.13461338,0,16.17801138,3.83057315,19.66090557,22.0178502,3.510368643,0,0,36.06442199,0,1.774486653,0,112.5116233,15.21850104,129.8666717,7.554913885,221.5365791,40.64568693,251.9438335,28.3808809,125.3351023,0,37.49758842,24.78662636,62.74429346,28.84549709,30.63057357,0,104.08889,17.41245872,318.850377,0,19.14580627,33.01855705,0,0,0,0,24.43480333,33.8676087,0,110.4828684,0,54.74388803,335.4181426,0,76.80364299,425.0368369,274.6519942,245.4011078,301.5833732,416.1811469,420.230435,139.1542442,0,5.748209739,179.9481143,239.1514661,180.5970974,65.59182213,11.15253534,73.88015406,55.44046269,301.914854,8.676503164,22.97524717,8.418930285,0,22.08989152,12.30924369,0,38.79777301,0,0,0,0,71.60286776,0.098922395,0,0,22.1261977,0,285.509871,0,178.9951851,53.03364049,0,0,42.9281239,33.31829534,24.68752601,0,28.04901489,30.80289453,23.26422694,10.05441474,0,0,8.906131384,13.84680811,102.943924,107.0719536,30.22234575,22.43761892,21.82481257,0,13.15622738,97.79083301,0,73.89842779,0.10692526,66.40033508,2.835152629,23.39179228,0,64.98012806,51.00930532,122.5378297,22.03165343,0.057893445,0,0,26.74013248,0,5.799828911,4.900084855,5.410606625,0.3908994,32.2510423,0,16.93542031,13.2953089,0,6.924937826,12.83935366,35.02478732,76.4569216,49.30021713,28.00388404,10.50758537,53.00919564,63.0529012,0.46806129,23.2732654,44.3705623,29.7445855,0,27.6440816,17.9416959,0,0,0,41.8523327,1.37885802,13.0736742,0,8.12438128,0,18.2659116,2.57834489,0.01327104,25.3566564,29.5931024,142.573264,0,10.150655,42.7976633,10.5846542,25.7350029,20.6821392,0,95.4536418,2.24039999,137.338975,37.1094734,22.9207011,30.6072091,0,22.9565474,108.434598,0,16.635837,38.0922888,55.0774018
1/1/23 3:00,0,0,0.489544341,0,0,64.52728545,0,40.6340058,0,15.6502117,3.794806143,19.09679794,21.91067081,3.561537417,0,0,35.85364516,0,1.765361038,0,108.0081692,15.01306888,122.2029096,7.251528624,213.04392,40.85046991,241.5155693,27.30094406,121.8908861,0,38.02685043,23.83598887,63.02789349,28.4574315,29.54622003,0,96.92557924,17.0808822,313.3800453,0,19.3629033,31.14082738,0,0,0,0,23.67510697,33.19932177,0,111.9825609,0,53.40554581,275.5792729,0,75.16420775,407.3386409,264.2026881,235.7208848,285.2924485,396.4870587,402.114135,131.6463715,0,5.759952831,174.518877,236.1858079,180.0017038,64.52777604,10.84958777,72.0215187,54.42280938,291.3748543,8.322374173,22.15564425,8.461253654,0,21.07512736,11.55448837,0,38.12042456,0,0,0,0,68.16042563,0.098406552,0,0,22.56020461,0,285.509871,0,171.3846102,53.30005769,0,0,41.98488362,32.63240907,21.41043522,0,27.3644954,30.06988022,22.75456065,9.865908359,0,0,8.878877559,13.21748369,102.5203956,100.3670553,30.04237603,22.09112102,21.92424891,0,13.08172285,98.67722896,0,74.37297334,0.109966161,66.00578799,2.80753564,23.40796015,0,64.40865817,48.95714074,117.7049827,21.32781026,0.056598546,0,0,25.80382403,0,5.870544784,4.911130536,5.451668773,0.380883943,31.44604582,0,16.39521459,12.36784763,0,6.696016849,12.91805253,33.46644409,74.3492005,46.05200974,26.52217933,10.03317408,50.67435535,60.5671816,0.46631245,22.4296325,43.2487418,28.837037,0,26.6602738,17.9127602,0,0,0,41.3934991,1.36553499,12.3682895,0,8.02195774,0,17.854173,2.5353499,0.01507134,24.6983862,28.5670498,130.564955,0,10.0873628,41.6546158,10.5742519,25.0314433,20.2425806,0,92.5486152,2.19771367,132.550222,36.7745094,22.1179949,30.1065306,0,22.2986867,105.3938,0,16.2433526,36.9172062,53.7469408
1/1/23 4:00,0,0,0.488757051,0,0,60.24750916,0,38.99382132,0,16.9346243,3.744762824,18.35534707,20.34329695,3.57742253,0,0,35.0641201,0,1.811063998,0,102.3345347,14.68949801,114.732796,6.937638216,205.5451698,40.80577226,232.2656,26.06307839,116.4904234,0,37.91994947,22.75254779,61.9429175,28.04951965,28.3060527,0,87.06310692,16.6186362,309.2791712,0,19.12358995,29.68265439,0,0,0,0,22.6283744,30.92788448,0,110.2661149,0,51.08589162,264.7530407,0,71.7697457,390.5284321,253.4113523,225.3804799,277.5653123,377.9674968,387.58662,122.2575284,0,5.785189926,167.1687626,232.7076545,177.1527889,64.08656394,10.43056422,69.8173585,51.72932927,283.3822794,8.024112266,21.13767303,8.45190477,0,20.19242817,10.82795074,0,37.18203457,0,0,0,0,65.86322134,0.098699874,0,0,23.0034126,0,285.509871,0,163.4970684,53.24184061,0,0,40.87343077,31.84728509,20.17147621,0,26.63464462,29.23120732,22.10757055,9.667131604,0,0,8.868078505,12.67756146,102.3335308,93.35055494,29.5495355,3.91618893,21.96017098,0,13.00983624,99.69844138,0,75.31385132,0.118542126,65.72800133,2.785733463,23.20472991,0,63.86257406,46.95892644,112.1318012,19.15631386,0.059116405,0,0,25.03631815,0,5.874826016,4.936970188,5.475434329,0.373050071,31.46128526,0,16.94948423,11.50962772,0,6.487202215,13.00179894,32.0314223,73.29507877,44.66286013,25.36361505,9.721767025,48.94340583,58.831411,0.43889336,21.6525225,42.0689987,28.2601351,0,25.9174658,20.4678445,0,0,0,41.2584057,1.4064725,13.1203881,0,10.2789167,0,17.2183006,2.51126606,0.0157124,24.5571062,28.0978692,118.872227,0,9.75979008,40.0747567,10.2936475,24.9322887,20.0487122,0,91.911643,2.00268167,130.007617,37.7540958,21.425266,29.6576117,0,21.5143261,92.7963321,0,16.0903872,36.0401762,52.5747016
1/1/23 5:00,0,0,0.458088323,0,0,56.57608048,0,37.86398718,0,16.91455783,3.812574079,17.81283631,20.70936306,3.591048294,0,0,34.78059632,0,1.864225202,0,97.69966155,14.59635251,109.9766444,6.727092079,202.5429055,40.97834224,225.9937223,25.2292995,106.9357877,0,37.93436718,21.94751592,63.17637679,27.57873547,27.48421126,0,84.68653666,16.14609555,279.9296965,0,19.58758713,28.41719451,0,0,0,0,21.97358833,29.31452248,0,107.9591863,0,49.37040375,250.0180206,0,69.54520746,377.8776979,249.9794122,215.1942801,274.8314798,367.313217,376.367912,126.2059519,0,5.804037397,164.7230419,230.6218375,171.3525472,63.50138941,10.19556222,68.97179347,50.26174409,265.6166586,7.787702319,20.84849205,8.487712397,0,19.74711986,10.13275379,0,36.85768016,0,0,0,0,64.68918055,0.09874539,0,0,22.86673099,0,285.509871,0,163.9241133,53.46726646,0,0,40.30399225,31.37108362,20.26514487,0,26.10619601,28.54546647,21.56921641,9.497874877,0,0,8.851705872,12.00931886,102.4221127,84.42797656,29.85956131,2.269202017,22.73796597,0,12.83105882,100.4121008,0,76.31998252,0.118266153,66.0131102,2.73976011,23.77667416,0,63.73886219,45.87098107,110.340472,18.70712724,0.058109262,0,0,24.75086756,0,5.908429486,4.969826563,5.509731676,0.373950166,32.12502995,0,17.34691241,11.07024717,0,6.42910337,13.11365056,31.49784767,71.45320084,44.43828541,24.69481982,9.621212658,47.40125457,57.6678556,0.45064951,21.5666329,41.8601035,27.1574518,0,25.1321788,24.6564974,0,0,0,41.1395738,1.42264084,13.2134695,0,8.29661117,0,17.563559,2.61317077,0.01579787,25.3910445,27.9161451,120.326608,0,9.04966578,38.9470153,9.8350225,24.5764303,19.8645083,0,90.8953695,2.18371995,128.471978,37.374688,21.1196293,29.6330305,0,21.7180297,90.2100756,0,16.4334472,35.3642,52.3643509
1/1/23 6:00,0,0,0.381091431,0,0,52.65259565,0,36.71925805,0,16.752788,3.902161259,17.24887363,20.64834364,3.540760367,0,0,35.11822194,0,1.793361901,0,94.48160755,14.49866556,105.755027,6.625233436,198.3340867,41.2496698,219.5960773,24.54691825,104.3774502,0,38.35281091,21.42846861,68.92637745,27.18095447,26.97672797,0,82.30406085,15.03985404,273.636701,0,20.1151187,27.65965002,0,0,0,0,21.76685659,28.30191803,0,106.21125,0,47.78928195,178.4076539,0,67.14299379,363.0022938,237.4151414,204.983585,269.8115408,362.1122538,369.638545,128.5055322,0,5.823494089,162.0805358,226.7862848,165.9262078,62.92765629,10.12360161,68.39982094,49.31350634,247.4831078,7.514059218,21.43307829,8.544500716,0,19.59633542,9.82109988,0,36.87111678,0,0,0,0,62.91600439,0.098067714,0,0,22.5799615,0,285.509871,0,160.6669475,53.82431057,0,0,39.59153718,30.93068013,23.42425742,0,25.84973517,28.00962847,21.14208972,9.292946414,0,0,8.835532714,12.33985815,103.5335283,70.50647736,28.0641866,2.269202017,22.98281722,0,12.57872241,97.08623664,0,75.43263376,0.122655673,67.86105928,2.759455765,23.72793657,0,63.23665813,45.5893488,108.6799163,18.69045366,0.052673883,0,0,25.27190641,0,6.149932922,5.020482783,5.552598428,0.398443412,32.84217647,0,17.14191104,11.41891219,0,6.789147941,13.21650251,32.05316122,69.25812634,45.17020277,24.5196368,10.09669854,44.90774968,58.4611059,0.43460817,22.4302087,41.6815526,27.7604863,0,25.4611815,10.6984349,0,0,0,41.3840927,1.50442602,13.2153569,0,7.96888433,0,17.6966029,2.98153078,0.01587801,28.1460169,28.2257181,115.690794,0,9.22858242,39.2090336,9.29622644,24.053164,20.1548605,0,92.4882222,2.34615097,128.130471,37.5914248,21.6190981,29.3618951,0,22.6124701,94.7563052,0,17.6271879,35.9105433,55.2200061
1/1/23 7:00,0,0,0.344662794,0,0,47.79649911,0,35.18761842,0,16.37663082,3.966800546,16.45852118,20.08478801,3.792797186,0,0,35.43584851,0,1.526802069,0,90.26075933,14.25977194,100.4406089,6.272928228,194.6084783,41.98341194,216.2020748,22.4508435,101.7910729,0,36.16305344,20.0714922,76.44513246,27.17130914,26.64610152,0,83.39492445,14.32108367,271.8241573,0,20.61378553,27.11862087,0,0,0,0,20.35637116,28.61849453,0,101.7438683,0,43.99323787,165.1539093,0,61.55725506,347.421582,218.0574667,198.2365918,269.9096485,369.9117923,368.230909,127.0782192,0,5.911049202,158.6084809,217.9848032,159.0444169,62.19753751,9.974080344,66.65682705,47.16273867,240.2577524,7.321888742,18.14657805,8.697292473,0,19.37742566,9.275927175,0,37.2272467,0,0,0,0,55.00125014,0.05766511,0,0,22.89358888,0,285.509871,0,154.4307702,54.78691456,0,0,39.24732629,29.95395026,20.06749527,0,25.75480628,27.42799672,19.90465568,9.007882147,0,0,8.75754954,17.42151241,106.5336688,90.53587253,26.11238297,2.269202017,25.20667988,0,15.85082389,90.28926112,0,70.27928159,0.098229535,70.90909935,2.530887913,26.33997174,0,72.35732922,44.83249659,106.7852712,19.12657688,0.048549389,0,0,24.65511468,0,6.36560626,5.114914306,5.682539813,0.409107242,35.89554342,0,18.04188511,11.86557789,0,7.080724994,13.42872525,32.46777955,67.91815137,46.2726133,23.78444265,0.452511552,42.16239824,58.5126452,0.40942884,23.2355193,39.9656917,27.5684456,0,24.5759611,17.888993,0,0,0,41.225002,1.43436651,13.2934649,0,8.00037905,0,17.3748491,3.28321398,0.01598485,30.4558736,28.2218198,116.47917,0,9.4497913,38.3647784,3.79588691,23.3788661,18.7540936,0,87.4834587,2.43309788,127.132137,36.9076355,21.9556242,29.2710323,0,21.8178174,94.7055166,0,17.456986,30.3903681,45.8901136
1/1/23 8:00,0,0,0.348797332,0,0,45.59921687,0,35.16514125,0,16.0231945,4.050751952,15.5441654,20.45706486,3.840263415,0,0,36.08349677,0,1.557403833,0,90.43587576,14.71367845,98.28550812,6.271135403,187.8860197,42.56770025,206.1914826,22.20622378,102.2448978,0,34.11233868,20.13708504,81.67739235,27.9537621,27.62854656,0,81.97421664,13.24389607,272.7092596,0,21.25323725,27.34179017,0,0,0,0,19.5295939,30.12015022,0,98.30779866,0,43.18382824,167.3305574,0,61.11419769,395.8889077,243.5008552,188.7114115,282.7272712,346.8727245,381.013499,130.9416269,0,6.021279803,159.2175672,220.6686665,160.811827,62.44856764,10.17591206,68.99087168,47.39512485,248.3862308,7.410843699,17.19509336,8.818132957,0,19.68594878,9.909022025,0,38.14711421,0,0,0,0,49.71876411,0.050903527,0,0,19.51817765,0,285.509871,0,156.5324085,55.54798864,0,0,40.12460818,30.43177098,20.01620069,0,25.56521234,27.7668259,20.51304616,9.11428394,0,0,8.70343302,13.33246156,105.4308058,67.45549413,27.2764136,2.269202017,22.41714354,0,12.69220626,91.9874583,0,71.98386536,0.101968176,74.92211209,2.748738072,23.3313909,0,62.6271553,44.89540227,107.9662408,21.32305468,0.058197187,0,0,25.0831468,0,6.488494397,5.206475762,5.775511458,0.425835267,38.54672298,0,17.91259702,11.97446574,0,7.166961815,13.76649244,32.03862124,70.16665064,48.03877612,23.84994984,-0.433795811,40.98191876,58.1183095,0.35027481,22.6055906,39.2273175,27.6278738,0,24.0295089,18.1588246,0,0,0,41.1480719,1.43950804,13.2878351,0,8.02010705,0,17.2630272,3.28461302,0.01599019,31.0856351,28.6038219,111.295069,0,9.92817425,37.9258278,0.22445548,23.0391365,18.7425076,0,90.2042881,2.39987373,129.508871,37.4868325,21.9185961,30.9207148,0,21.8064687,94.0797918,0,17.5145647,31.5036199,54.6664099
1/1/23 9:00,0,0,0.00803821,0,0,42.57952422,0,37.73242643,0,14.53119396,3.39609721,15.85196453,20.61965737,3.019532599,0,0,32.42059432,0,1.766753842,0,80.19996094,32.36581203,94.23105017,6.172071753,209.2753073,36.89594424,218.6057132,22.69711746,86.68514735,0,33.25323336,19.78330507,72.48050144,26.92855917,25.15427431,0,88.18796124,16.60480749,204.8219166,0,11.42947533,26.63219242,0,0,0,0,19.33661966,24.06076391,0,67.22982511,0,42.74231744,143.0960291,0,69.60105321,489.8845482,279.9834024,211.4424446,340.5824499,402.5450474,449.847875,120.0180461,0,5.168797517,169.3977621,210.5306182,152.6600007,70.13016869,10.6286509,59.54800974,52.59524973,282.190266,7.71752013,17.49309542,7.642147554,0,19.00985454,9.784691902,0,38.46400603,0,0,0,0,57.00042787,0.058206239,0,0,3.8950922,0,285.509871,0,166.109551,48.14024991,0,0,45.37124262,31.75512955,21.05189964,0,26.70801301,38.43768726,21.81463731,9.029305051,0,0,9.641859484,13.40340789,106.6465018,68.39024057,26.55210195,2.269202017,23.17745758,0,13.02392926,92.49712763,0,72.22366049,0.112543637,76.53920672,2.75596957,23.85993225,0,64.15189961,51.10062554,75.31584807,50.87713068,0.046463163,0,0,23.81569389,0,5.267310855,1.582632119,3.974466873,0.293658696,39.52623978,0,17.91707045,12.40478447,0,6.274282179,9.497852269,28.98101034,74.66690976,42.71432723,27.76654771,-0.433795811,44.10629525,63.209786,0.36001109,22.996641,47.2523208,26.371329,0,25.1323435,1.51401262,0,0,0,40.9269432,0.43042659,10.7076317,0,13.1380369,0,15.279554,2.52922843,0.01272614,32.4085413,29.538033,106.727603,0,11.2442835,41.5804798,9.93894465,22.1859374,23.3829037,0,79.5193402,3.32730207,142.943057,43.7085052,25.5146804,29.8203888,0,19.949125,102.216358,0,18.7765781,38.1600214,60.4991753
